Rank,Family,Method,Type,Classifier,Representations,#Features,Accuracy,Accuracy std,Balanced accuracy,Balanced accuracy std,Macro precision,Macro precision std,Macro recall,Macro recall std,Macro specificity,Macro specificity std,Macro F1,Macro F1 std,Weighted F1,Weighted F1 std,Cohen's kappa,Cohen's kappa std,MCC,MCC std,Symmetric method,Stronger row == Weaker row,Runtime (s)
1,semantic,SEM Magma counter-model rule (no training),rule,none (rule; thresholds tuned on train pairs where applicable),"formal (executed, = py_cayley_table semantics)",,0.9956311486617219,0.003968067963454541,0.9969659388664456,0.0024927688813708754,0.9943856050714917,0.005497178857817169,0.9969659388664456,0.0024927688813708754,0.9985706058082731,0.001279444752555441,0.995646473291572,0.003980837941211639,0.9956304266440699,0.0039677414699193485,0.9937151536005013,0.005848877326874148,0.9937428937477459,0.0058104959891243195,no,different,45.9
2,structural,STRUCT WL (h=3) + structural invariants,learned,"HistGradientBoostingClassifier(max_iter=300, learning_rate=0.05, class_weight=balanced, random_state=42)",formal,585.0,0.9488068765929814,0.00596236604833252,0.9504810933189546,0.01296194622851816,0.9550886793068016,0.0033008109445320684,0.9504810933189546,0.01296194622851816,0.981092398400728,0.002985143724531278,0.9524571288840414,0.007837623893927973,0.9488177223218273,0.005928834407531249,0.927017036950439,0.009959870247672649,0.927181805139974,0.010011578074655574,no,different,132.8
3,structural,STRUCT Structural invariants (formal),learned,"HistGradientBoostingClassifier(max_iter=300, learning_rate=0.05, class_weight=balanced, random_state=42)",formal,39.0,0.87491016932991,0.015796824582437977,0.8734852312355861,0.02057386313057357,0.8621448821854483,0.024466770917611312,0.8734852312355861,0.02057386313057357,0.9558600928027337,0.006492832489627135,0.8667900978297599,0.021111226237861148,0.8752230127626637,0.0157446018317605,0.8224830383945252,0.025571123511738663,0.8228190355569313,0.025626616323632327,no,different,8.8
4,structural,STRUCT Weisfeiler-Lehman subtree features (h=3),learned,"HistGradientBoostingClassifier(max_iter=300, learning_rate=0.05, class_weight=balanced, random_state=42)",formal,546.0,0.8045465346038243,0.021527733779663022,0.7879533893350542,0.027680821053317886,0.7833759704891635,0.014699806173054891,0.7879533893350542,0.027680821053317886,0.9313016011902795,0.008101703650705847,0.7837669864470436,0.019406340631986225,0.8047031364289419,0.02235102813288337,0.7230478244440464,0.02908839130017308,0.72403641019621,0.029188578394207104,no,different,113.1
5,natural-latents,"NL Representation-specific, RAW | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",learned,"HistGradientBoostingClassifier(max_iter=300, learning_rate=0.05, class_weight=balanced, random_state=42)",all 19,456.0,0.8091223598300339,0.018292283007718735,0.7876056650107326,0.017922319036849394,0.791361223892502,0.02348495529022825,0.7876056650107326,0.017922319036849394,0.9323069496918357,0.00592459069616932,0.7873728148824768,0.01593893247621069,0.80886036708033,0.01793071261419584,0.7286869495935052,0.024454856912632494,0.7294031292342364,0.02446814032962152,no,different,216.4
6,natural-latents,"NL Representation-specific, RESAMPLED | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",learned,"HistGradientBoostingClassifier(max_iter=300, learning_rate=0.05, class_weight=balanced, random_state=42)",all 19,456.0,0.7883267200295495,0.01539856632364124,0.7658369249948874,0.02512777667984128,0.7639309274323695,0.018285080824130957,0.7658369249948874,0.02512777667984128,0.9256198548074381,0.00564433861248182,0.7631511716563393,0.018969825687562714,0.7882125706750547,0.016070532739734893,0.6998841061252886,0.021529580860977254,0.7008244904926293,0.0217823774347809,no,different,237.3
7,semantic,"SEM Condensation engine, corrected (size-2+3 magmas; unresolvable -> incomparable)",rule,none (rule; thresholds tuned on train pairs where applicable),formal (executed),,0.48134931688398874,0.06256020004415519,0.3683569279262401,0.03156034304144687,0.7724785206552177,0.022912940115488792,0.3683569279262401,0.03156034304144687,0.7891266961655108,0.00909185255237857,0.3571547571820276,0.05924467021820183,0.40599538489930903,0.067937748673737,0.17752336138612396,0.04647137250764287,0.2828445734648198,0.0454188590775007,no,different,11.9
8,semantic,"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",rule,none (rule; thresholds tuned on train pairs where applicable),formal (executed),,0.26015941002499404,0.030889431852317278,0.22644411735467082,0.029244899377464557,0.517898768541526,0.01712866596149825,0.22644411735467082,0.029244899377464557,0.7278666584900557,0.004969105459346135,0.2408201108469789,0.032160467752748334,0.27469141182857715,0.03873135878816711,-0.06412875127586841,0.025515827980694624,-0.07671271970570896,0.0324632058089391,no,different,54.0
